iter	Passed	Remaining
254	4245	12402
255	4258	12377
256	4288	12397
257	4301	12369
258	4314	12344
259	4328	12318
260	4341	12292
261	4354	12265
262	4367	12240
263	4385	12224
264	4407	12225
265	4418	12192
266	4431	12165
267	4441	12132
268	4455	12106
269	4468	12082
270	4482	12056
271	4510	12073
272	4524	12048
273	4549	12053
274	4563	12030
275	4577	12008
276	4589	11979
277	4605	11960
278	4626	11954
279	4642	11938
280	4657	11917
281	4672	11895
282	4727	11976
283	4740	11952
284	4754	11928
285	4768	11904
286	4781	11879
287	4796	11858
288	4824	11868
289	4837	11844
290	4865	11855
291	4903	11889
292	4916	11863
293	4959	11910
294	4989	11923
295	5003	11899
296	5016	11874
297	5045	11884
298	5058	11860
299	5079	11851
300	5086	11812
301	5100	11788
302	5114	11764
303	5127	11739
304	5149	11733
305	5176	11741
306	5201	11741
307	5229	11748
308	5243	11726
309	5258	11705
310	5273	11683
311	5288	11661
312	5302	11638
313	5316	11615
314	5331	11594
315	5344	11567
316	5358	11545
317	5383	11546
318	5397	11522
319	5411	11498
320	5425	11475
321	5438	11450
322	5452	11428
323	5471	11415
324	5485	11392
325	5498	11367
326	5512	11344
327	5525	11320
328	5541	11302
329	5566	11301
330	5580	11278
331	5591	11250
332	5605	11226
333	5620	11206
334	5633	11183
335	5648	11161
336	5686	11187
337	5715	11194
338	5743	11198
339	5756	11174
340	5770	11150
341	5783	11126
342	5797	11104
343	5811	11082
344	5821	11053
345	5831	11023
346	5844	10999
347	5872	11001
348	5886	10979
349	5900	10957
350	5915	10937
351	5928	10913
352	5941	10890
353	5955	10867
354	5969	10846
355	5984	10825
356	5997	10802
357	6011	10779
358	6021	10751
359	6036	10732
360	6058	10724
361	6076	10709
362	6091	10689
363	6106	10670
364	6114	10637
365	6129	10618
366	6135	10581
367	6166	10590
368	6185	10577
369	6200	10557
370	6233	10568
371	6249	10549
372	6264	10530
373	6281	10513
374	6296	10493
375	6311	10473
376	6325	10452
377	6339	10431
378	6354	10412
379	6363	10383
380	6381	10367
381	6395	10346
382	6409	10325
383	6422	10302
384	6435	10280
385	6462	10279
386	6476	10258
387	6491	10239
388	6506	10218
389	6516	10193
390	6546	10195
391	6570	10190
392	6584	10169
393	6606	10160
394	6629	10154
395	6651	10145
396	6664	10122
397	6678	10102
398	6692	10080
399	6703	10055
400	6714	10029
401	6726	10005
402	6738	9982
403	6751	9960
404	6765	9940
